Name,Description,Stages,Topics,Lesson number,Courses,Related spaces,Skills,Tags,Roles,Web URL
Lab 03: Evaluating and Deploying LLMs,"Covers evaluation and deployment workflows for LLM prompt flows, including running assessments and promoting tested flows to endpoints.",,,3,azure-llmops-workshop,,,"evaluation,deployment",,https://microsoft.github.io/llmops-workshop/labs/lesson_03/lab03.html
Lab 04: Monitoring and Responsible AI,Focuses on monitoring deployed LLM workflows and applying responsible AI and safety practices for production operations.,,,4,azure-llmops-workshop,,,"monitoring,observability,content-safety",,https://microsoft.github.io/llmops-workshop/labs/lesson_04/lab04.html
Lab 05: Automating Everything (CI/CD),"Automates build, evaluation, and deployment for LLM orchestration flows using CI/CD practices and repeatable delivery pipelines.",,,5,azure-llmops-workshop,,,"automation,ci-cd",,https://microsoft.github.io/llmops-workshop/labs/lesson_05/lab05.html
Extra: Benchmarking Azure OpenAI Models,"Uses the Azure OpenAI Benchmarking Tool to run load tests, interpret throughput and latency metrics, and tune test parameters.",,,6,azure-llmops-workshop,,,"performance,evaluation",,https://microsoft.github.io/llmops-workshop/labs/performance/docs/AOAI_BENCH_TOOL.html
Extra: Performance Evaluation / Load Testing,"Explains core performance-evaluation concepts for LLM applications, including load-testing methodology, metrics, and capacity planning tradeoffs.",,,7,azure-llmops-workshop,,,"performance,load-testing",,https://microsoft.github.io/llmops-workshop/labs/performance/docs/PERFTEST_CONCEPTS.html
Evaluation Docs (Entry),Lesson on Evaluation Docs (Entry).,,,1,braintrust-evaluation,,,"evaluation,overview",,https://www.braintrust.dev/docs/evaluation
Evaluate Systematically,Lesson on Evaluate Systematically.,,,2,braintrust-evaluation,,,evaluation,,https://www.braintrust.dev/docs/evaluate
Build Datasets,Lesson on Build Datasets.,,,3,braintrust-evaluation,,,datasets,,https://www.braintrust.dev/docs/annotate/datasets
Write Scorers,Lesson on Write Scorers.,,,4,braintrust-evaluation,,,"evaluation,scorers",,https://www.braintrust.dev/docs/evaluate/write-scorers
Run Evaluations,Lesson on Run Evaluations.,,,5,braintrust-evaluation,,,"evaluation,runs",,https://www.braintrust.dev/docs/evaluate/run-evaluations
Interpret Results,Lesson on Interpret Results.,,,6,braintrust-evaluation,,,"experiments,analysis",,https://www.braintrust.dev/docs/evaluate/interpret-results
Databricks LLMOps overview,"Defines LLMOps on Databricks, including lifecycle practices for prompt engineering, fine-tuning, evaluation, monitoring, and governance.",,,1,databricks-llmops,,,"definition,lifecycle",,https://www.databricks.com/glossary/llmops
Evaluate and monitor AI agents (MLflow for GenAI),"Covers MLflow 3 evaluation and monitoring for GenAI apps, including tracing, LLM judges, scorers, and production quality checks.",,,2,databricks-llmops,,,"evaluation,monitoring,agents",,https://docs.databricks.com/aws/en/mlflow3/genai/eval-monitor/
Implement LLMOps with Azure Databricks (lab),"Hands-on lab for implementing LLMOps in Azure Databricks with Azure OpenAI, MLflow logging, deployment setup, and monitoring workflows.",,,3,databricks-llmops,,,"deployment,tracking,governance",,https://microsoftlearning.github.io/mslearn-databricks/Instructions/Exercises/AI-07-LLMOps.html
Microsoft Learn module: Implement LLMOps with Azure Databricks,"Microsoft Learn module on implementing LLMOps in Azure Databricks using MLflow, Unity Catalog, and deployment lifecycle patterns.",,,4,databricks-llmops,,,"lifecycle,deployment",,https://learn.microsoft.com/en-us/training/modules/implement-llmops-azure-databricks/
lm-evaluation-harness repo (core),Lesson on lm-evaluation-harness repo (core).,,,1,eleutherai-eval,,,"evaluation,reproducibility",,https://github.com/EleutherAI/lm-evaluation-harness
lm-evaluation-harness docs folder,Lesson on lm-evaluation-harness docs folder.,,,2,eleutherai-eval,,,"tasks,prompt-templates",,https://github.com/EleutherAI/lm-evaluation-harness/tree/main/docs
lm-evaluation-harness models/backends,Lesson on lm-evaluation-harness models/backends.,,,3,eleutherai-eval,,,"backends,serving-integration",,https://github.com/EleutherAI/lm-evaluation-harness/tree/main/lm_eval/models
lm-evaluation-harness usage,Lesson on lm-evaluation-harness usage.,,,4,eleutherai-eval,,,"tooling,workflows",,https://github.com/EleutherAI/lm-evaluation-harness#usage
What is LLMOps (overview),"Overview of LLMOps lifecycle, core activities, and how LLMOps differs from broader MLOps practices.",,,1,gcp-llmops-overview,,,"lifecycle,definition",,https://cloud.google.com/discover/what-is-llmops
Vertex AI Model Registry (lifecycle management),"Introduces Vertex AI Model Registry workflows for organizing, versioning, and promoting models through their lifecycle.",,,2,gcp-llmops-overview,,,"model-registry,versioning",,https://docs.cloud.google.com/vertex-ai/docs/model-registry/introduction
Vertex AI Pipelines (automation),"Explains Vertex AI Pipelines fundamentals, including DAG-based components, orchestration patterns, and pipeline runs.",,,3,gcp-llmops-overview,,,"pipelines,automation",,https://docs.cloud.google.com/vertex-ai/docs/pipelines/introduction
Vertex AI Model Evaluation (overview),"Covers Vertex AI model evaluation concepts, key metrics, and workflows for comparing model quality across versions.",,,4,gcp-llmops-overview,,,evaluation,,https://docs.cloud.google.com/vertex-ai/docs/evaluation/introduction
Vertex AI Model Monitoring (overview),"Introduces Vertex AI Model Monitoring for drift detection, alerting, and ongoing model quality checks in production.",,,5,gcp-llmops-overview,,,monitoring,,https://docs.cloud.google.com/vertex-ai/docs/model-monitoring/overview
Quick Start,Lesson on Quick Start.,,,1,helicone-quickstart,,,"observability,quickstart",,https://docs.helicone.ai/getting-started/quick-start
AI Gateway Overview,Lesson on AI Gateway Overview.,,,2,helicone-quickstart,,,gateway,,https://docs.helicone.ai/gateway/overview
Provider Routing,Lesson on Provider Routing.,,,3,helicone-quickstart,,,routing,,https://docs.helicone.ai/gateway/provider-routing
Prompt Integration,Lesson on Prompt Integration.,,,4,helicone-quickstart,,,prompt-management,,https://docs.helicone.ai/gateway/prompt-integration
Caching,Lesson on Caching.,,,5,helicone-quickstart,,,"cost,latency",,https://docs.helicone.ai/features/advanced-usage/caching
LLM Security,Lesson on LLM Security.,,,6,helicone-quickstart,,,"security,governance",,https://docs.helicone.ai/features/advanced-usage/llm-security
Cost Tracking,Lesson on Cost Tracking.,,,7,helicone-quickstart,,,cost,,https://docs.helicone.ai/guides/cookbooks/cost-tracking
Eval Scores,Lesson on Eval Scores.,,,8,helicone-quickstart,,,evaluation,,https://docs.helicone.ai/features/advanced-usage/scores
TRL docs index,Lesson on TRL docs index.,,,1,hf-open-llmops-primitives,,,"post-training,rlhf,dpo",,https://huggingface.co/docs/trl/index
PEFT docs index,Lesson on PEFT docs index.,,,2,hf-open-llmops-primitives,,,"peft,lora",,https://huggingface.co/docs/peft/index
Accelerate docs index,Lesson on Accelerate docs index.,,,3,hf-open-llmops-primitives,,,distributed-training,,https://huggingface.co/docs/accelerate/index
Transformers pipeline tutorial,Lesson on Transformers pipeline tutorial.,,,4,hf-open-llmops-primitives,,,"inference,ecosystem-primitives",,https://github.com/huggingface/transformers/blob/main/docs/source/en/pipeline_tutorial.md
IBM: What are Large Language Model Operations (LLMOps)?,"Explains IBM's LLMOps foundations, including lifecycle workflows, LLM-vs-MLOps differences, and operational best practices for production AI.",,,1,ibm-llmops,,,"definition,lifecycle",,https://www.ibm.com/think/topics/llmops
IBM MLOps Guide: Introducing watsonx,"Introduces how MLOps extends to foundation models and LLMOps in watsonx, framing prompt-based workflows and production use of foundation model assets.",,,2,ibm-llmops,,,"governance,lifecycle",,https://ibm.github.io/MLOps/watsonx/watsonx/
IBM community: Build an agentic LLMOps stack with watsonx,"Community article on building an agentic LLMOps stack with watsonx, including multi-agent orchestration, governance, and observability patterns.",,,3,ibm-llmops,,,"agents,orchestration,governance",,https://community.ibm.com/community/user/blogs/patrick-meyer/2025/09/18/build-an-agentic-llmops-stack-with-ibm-watsonx
IBM MLOps Guide: AI governance,"Details AI governance controls in IBM's MLOps guide, including AI Factsheets metadata capture, OpenPages approval workflows, and OpenScale monitoring.",,,4,ibm-llmops,,,"governance,risk",,https://ibm.github.io/MLOps/Realizing%20MLOps/AI_Gov_OpenPages_Factsheets/
LangChain observability (docs landing),Lesson on LangChain observability (docs landing).,,,1,langchain-observability,,,"observability,tracing",,https://docs.langchain.com/oss/python/langchain/observability
LangChain observability: tracing setup,Lesson on LangChain observability: tracing setup.,,,2,langchain-observability,,,"tracing,setup",,https://docs.langchain.com/oss/python/langchain/observability#tracing
LangChain observability: evaluation hooks,Lesson on LangChain observability: evaluation hooks.,,,3,langchain-observability,,,"evaluation,monitoring",,https://docs.langchain.com/oss/python/langchain/observability#evaluation
LangChain observability: debugging patterns,Lesson on LangChain observability: debugging patterns.,,,4,langchain-observability,,,"debugging,ops",,https://docs.langchain.com/oss/python/langchain/observability#debugging
Watch Demo,Lesson on Watch Demo.,,,1,langfuse-course,,,"observability,overview",,https://langfuse.com/watch-demo
Docs Home,Lesson on Docs Home.,,,2,langfuse-course,,,docs,,https://langfuse.com/docs
Observability Overview,Lesson on Observability Overview.,,,3,langfuse-course,,,"observability,tracing",,https://langfuse.com/docs/observability/overview
Prompt Management Overview,Lesson on Prompt Management Overview.,,,4,langfuse-course,,,prompt-management,,https://langfuse.com/docs/prompt-management/overview
Evaluation Overview,Lesson on Evaluation Overview.,,,5,langfuse-course,,,"evaluation,monitoring",,https://langfuse.com/docs/evaluation/overview
Course Page (Academy),Lesson on Course Page (Academy).,,,1,langgraph-academy-intro,,,"agents,orchestration",,https://academy.langchain.com/courses/intro-to-langgraph
Companion Repo: Module 0 (Setup),Lesson on Companion Repo: Module 0 (Setup).,,,2,langgraph-academy-intro,,,setup,,https://github.com/langchain-ai/langchain-academy/tree/main/module-0
Companion Repo: Module 1 (LangGraph Basics),Lesson on Companion Repo: Module 1 (LangGraph Basics).,,,3,langgraph-academy-intro,,,"agents,graphs",,https://github.com/langchain-ai/langchain-academy/tree/main/module-1
Companion Repo: Module 2 (Graph Patterns),Lesson on Companion Repo: Module 2 (Graph Patterns).,,,4,langgraph-academy-intro,,,"agents,patterns",,https://github.com/langchain-ai/langchain-academy/tree/main/module-2
Companion Repo: Module 3 (Advanced Themes),Lesson on Companion Repo: Module 3 (Advanced Themes).,,,5,langgraph-academy-intro,,,"memory,tools",,https://github.com/langchain-ai/langchain-academy/tree/main/module-3
Companion Repo: Module 4 (Advanced Themes),Lesson on Companion Repo: Module 4 (Advanced Themes).,,,6,langgraph-academy-intro,,,advanced,,https://github.com/langchain-ai/langchain-academy/tree/main/module-4
Companion Repo: Module 5 (Advanced Themes),Lesson on Companion Repo: Module 5 (Advanced Themes).,,,7,langgraph-academy-intro,,,advanced,,https://github.com/langchain-ai/langchain-academy/tree/main/module-5
Companion Repo: Module 6 (Deployment),Lesson on Companion Repo: Module 6 (Deployment).,,,8,langgraph-academy-intro,,,deployment,,https://github.com/langchain-ai/langchain-academy/tree/main/module-6
LlamaIndex observability guide (landing),Lesson on LlamaIndex observability guide (landing).,,,1,llamaindex-observability,,,"observability,tracing",,https://developers.llamaindex.ai/python/framework/module_guides/observability/
LlamaIndex: OpenTelemetry integration,Lesson on LlamaIndex: OpenTelemetry integration.,,,2,llamaindex-observability,,,"tracing,otel",,https://developers.llamaindex.ai/python/framework/module_guides/observability/#opentelemetry
LlamaIndex: Phoenix integration,Lesson on LlamaIndex: Phoenix integration.,,,3,llamaindex-observability,,,"observability,phoenix",,https://developers.llamaindex.ai/python/framework/module_guides/observability/#phoenix-arize
LlamaIndex: evaluation/monitoring integrations,Lesson on LlamaIndex: evaluation/monitoring integrations.,,,4,llamaindex-observability,,,"evaluation,monitoring",,https://developers.llamaindex.ai/python/framework/module_guides/observability/#evaluation
Docs Home / Overview,Lesson on Docs Home / Overview.,,,1,llmops-build-docs,,,"lifecycle,overview",,https://llmops.build/docs
Quickstart,Lesson on Quickstart.,,,2,llmops-build-docs,,,"quickstart,implementation",,https://llmops.build/docs/quickstart
Standalone Usage,Lesson on Standalone Usage.,,,3,llmops-build-docs,,,"deployment,usage",,https://llmops.build/docs/standalone
Configuration,Lesson on Configuration.,,,4,llmops-build-docs,,,configuration,,https://llmops.build/docs/configuration
Providers,Lesson on Providers.,,,5,llmops-build-docs,,,providers,,https://llmops.build/docs/providers
Changelog,Lesson on Changelog.,,,6,llmops-build-docs,,,versioning,,https://llmops.build/docs/changelog
MLflow: Evaluate prompts (Prompt Registry),Lesson on MLflow: Evaluate prompts (Prompt Registry).,,,1,mlflow-genai,,,"prompt-management,evaluation",,https://mlflow.org/docs/latest/genai/prompt-registry/evaluate-prompts/
Databricks: Evaluate & monitor AI agents,Lesson on Databricks: Evaluate & monitor AI agents.,,,2,mlflow-genai,,,"evaluation,monitoring",,https://docs.databricks.com/aws/en/mlflow3/genai/eval-monitor/
Azure Databricks: Evaluate & monitor AI agents,Lesson on Azure Databricks: Evaluate & monitor AI agents.,,,3,mlflow-genai,,,"evaluation,monitoring",,https://learn.microsoft.com/en-us/azure/databricks/mlflow3/genai/eval-monitor/
Databricks LLMOps glossary (context),Lesson on Databricks LLMOps glossary (context).,,,4,mlflow-genai,,,"lifecycle,tracking",,https://www.databricks.com/glossary/llmops
Codex Overview,Lesson on Codex Overview.,,,1,openai-codex-docs,,,"coding-agents,overview",,https://developers.openai.com/codex
Codex CLI,Lesson on Codex CLI.,,,2,openai-codex-docs,,,"cli,automation",,https://developers.openai.com/codex/cli
Config Basics,Lesson on Config Basics.,,,3,openai-codex-docs,,,configuration,,https://developers.openai.com/codex/config-basic
Codex SDK,Lesson on Codex SDK.,,,4,openai-codex-docs,,,"sdk,automation",,https://developers.openai.com/codex/sdk
Codex App Server,Lesson on Codex App Server.,,,5,openai-codex-docs,,,"deployment,integration",,https://developers.openai.com/codex/app-server
Quick setup (CLI),Guide to installing OpenClaw in bash or windows powershell.,,Foundations; Lifecycle; LLM Deployment,1,openclaw-getting-started,AI,Install tooling; Verify environment,Install; Setup,Platform Engineer; Technical product manager,https://docs.openclaw.ai/start/getting-started
Onboarding overview,"Choose an onboarding path (CLI wizard or macOS app) to set up the Gateway and providers, including custom endpoints if needed.",,Governance; Automation; Deployment,2,openclaw-getting-started,AI,Configure authorization; Gateway management,,Governance manager; LLMOps engineer; Platform Engineer,https://docs.openclaw.ai/start/onboarding-overview
OpenRLHF repository (overview),Lesson on OpenRLHF repository (overview).,,,1,openrlhf-posttraining,,,"rlhf,post-training",,https://github.com/OpenRLHF/OpenRLHF
OpenRLHF README (architecture + quickstart),Lesson on OpenRLHF README (architecture + quickstart).,,,2,openrlhf-posttraining,,,"scaling,serving-integration",,https://github.com/OpenRLHF/OpenRLHF#readme
OpenRLHF issues/discussions,Lesson on OpenRLHF issues/discussions.,,,3,openrlhf-posttraining,,,"ops,community",,https://github.com/OpenRLHF/OpenRLHF/issues
OpenRLHF releases,Lesson on OpenRLHF releases.,,,4,openrlhf-posttraining,,,"versioning,maintenance",,https://github.com/OpenRLHF/OpenRLHF/releases
Oracle: What is LLMOps? (overview),"Defines LLMOps as the operational discipline for deploying, monitoring, securing, and updating production LLM applications.",,,1,oracle-llmops,,,"definition,monitoring",,https://www.oracle.com/artificial-intelligence/llmops/
Deploy LLM on OCI Data Science using BYOC (vLLM),"Step-by-step guide for deploying a Hugging Face LLM on OCI Data Science with a vLLM BYOC container and OpenAI-compatible endpoints.",,,2,oracle-llmops,,,"deployment,serving,open-models",,https://raw.githubusercontent.com/oracle-samples/oci-data-science-ai-samples/main/LLM/deploy-llm-byoc.md
OCI Monitoring service overview (official docs),"Introduces OCI Monitoring fundamentals for metrics, alarms, and resource health tracking across cloud services.",,,3,oracle-llmops,,,"observability,monitoring",,https://docs.oracle.com/en-us/iaas/Content/Monitoring/Concepts/monitoringoverview.htm
Monitoring OCI DevOps performance (A-Team guide),"Shows how to monitor OCI DevOps pipelines with OCI Monitoring, Logging, Logging Analytics, Events, and alert automation.",,,4,oracle-llmops,,,"ci-cd,monitoring",,https://www.ateam-oracle.com/monitor-oci-devops-performance-observability-and-management
Phoenix Landing Page,Lesson on Phoenix Landing Page.,,,1,phoenix-observability,,,"observability,overview",,https://phoenix.arize.com/
Phoenix Docs Overview,Lesson on Phoenix Docs Overview.,,,2,phoenix-observability,,,docs,,https://arize.com/docs/phoenix
Tracing Quickstart,Lesson on Tracing Quickstart.,,,3,phoenix-observability,,,tracing,,https://arize.com/docs/phoenix/get-started/get-started-tracing
Evaluations Quickstart,Lesson on Evaluations Quickstart.,,,4,phoenix-observability,,,evaluation,,https://arize.com/docs/phoenix/get-started/get-started-evaluations
Integrations,Lesson on Integrations.,,,5,phoenix-observability,,,integrations,,https://arize.com/docs/phoenix/integrations
Self-Hosting,Lesson on Self-Hosting.,,,6,phoenix-observability,,,"deployment,self-hosting",,https://arize.com/docs/phoenix/self-hosting
vLLM docs (landing),Lesson on vLLM docs (landing).,,,1,vllm-serving,,,"serving,inference",,https://docs.vllm.ai/
OpenAI-compatible server,Lesson on OpenAI-compatible server.,,,2,vllm-serving,,,"openai-compatible-api,serving",,https://docs.vllm.ai/en/v0.13.0/serving/openai_compatible_server/
vLLM GitHub repository,Lesson on vLLM GitHub repository.,,,3,vllm-serving,,,"implementation,deploy",,https://github.com/vllm-project/vllm
vLLM serving guides index,Lesson on vLLM serving guides index.,,,4,vllm-serving,,,"deployment,ops",,https://docs.vllm.ai/en/latest/serving/offline_inference/
Courses Catalog,Lesson on Courses Catalog.,,,1,wandb-courses,,,overview,,https://wandb.ai/site/courses/
AI Agents Course,Lesson on AI Agents Course.,,,2,wandb-courses,,,agents,,https://wandb.ai/site/courses/agents/
LLM Apps Evaluation Course,Lesson on LLM Apps Evaluation Course.,,,3,wandb-courses,,,evaluation,,https://wandb.ai/site/courses/evals/
RAG++ Course,Lesson on RAG++ Course.,,,4,wandb-courses,,,rag,,https://wandb.ai/site/courses/rag/
Model CI/CD Course,Lesson on Model CI/CD Course.,,,5,wandb-courses,,,ci-cd,,https://wandb.ai/site/courses/model-ci-cd/
